,band,count,flag
263,ジョニー大蔵大臣,43.0,1.0
264,晴れたら空に豆まいてでは,42.0,-1.0
265,大森靖子,42.0,1.0
266,余命百年,42.0,1.0
267,aol,42.0,0.0
268,カミヒカルス,42.0,1.0
269,MUSQIS,42.0,1.0
270,夕暮レトロニカ,42.0,1.0
271,マツオカ,42.0,0.0
272,CREAM PANDA,42.0,1.0
273,あおしぐれ,42.0,1.0
274,川島功平,42.0,0.0
275,ヨコミゾ ヤシキ,42.0,0.0
276,GOOD SPEED SID,42.0,0.0
277,GABA,42.0,0.0
278,死ぬまで生きるもんズ,42.0,1.0
279,ゆゆん,42.0,1.0
280,Gateballers,41.0,1.0
281,ハグレヤギ,41.0,1.0
282,そうの砂粒,41.0,1.0
283,BAZRA,41.0,1.0
284,papalion,41.0,1.0
285,15,41.0,0.0
286,さらばルバート,41.0,1.0
287,JUDY,41.0,0.0
288,PINCH COX,41.0,1.0
289,ブリキオーケストラ,41.0,1.0
290,あの娘の代わり,41.0,1.0
291,デッドバンビーズ,41.0,1.0
292,weave,41.0,0.0
293,空を飛ぶ,41.0,0.0
294,aeronauts,41.0,1.0
295,個人主義激場,41.0,1.0
296,ボナンザグラム,41.0,1.0
297,モノクロ街道,41.0,1.0
298,ストールンシネマ,41.0,1.0
299,NOISE CASPER,40.0,1.0
300,ゆるめるモ！,40.0,1.0
301,青い麦,40.0,0.0
302,テクマクマヤーンズ,40.0,1.0
303,THE TEENAGE KISSERS,40.0,1.0
304,少女閣下のインターナショナル,40.0,1.0
305,おいおい教バンド,40.0,1.0
306,硝子越しの暴走,40.0,1.0
307,ケリーマフ,40.0,1.0
308,トリプルファイヤー,40.0,1.0
309,the knowlus,40.0,1.0
310,NEXT少女事件,40.0,1.0
311,HOMMヨ,40.0,1.0
312,神々のゴライコーズ,40.0,1.0
313,ゲスバンド,40.0,1.0
314,日比谷カタン,40.0,1.0
315,KOMA,40.0,0.0
316,ハラフロムヘル,40.0,1.0
317,エレクトリックリボン,40.0,1.0
318,ド真ん中ズン,40.0,1.0
319,KOTO,40.0,1.0
320,THE YOUNGMAN PSYCHO BLUES,40.0,1.0
321,●Pコード,40.0,-1.0
322,ザ・ビートモーターズ,40.0,1.0
323,杏仁クルーエル,40.0,1.0
324,ジョゼ,39.0,1.0
325,hy4_4yh,39.0,1.0
326,Have a Nice Day!,39.0,1.0
327,CHAOS,39.0,0.0
328,夜のストレンジャーズ,39.0,1.0
329,あなたのパーティーを個性的に演出します。お 気軽に ご相談ください。,39.0,-1.0
330,KING,39.0,0.0
331,GLIM SPANKY,39.0,1.0
332,淳,39.0,-1.0
333,adv.\1500 door\2000,39.0,-1.0
334,あすなろう,39.0,0.0
335,キャスバリズム,39.0,1.0
336,お気軽にご連絡くださいませ。,39.0,-1.0
337,Bakyun the everyday,39.0,1.0
338,ショージロージュニア,39.0,1.0
339,guest,39.0,-1.0
340,カタミチカラ,39.0,1.0
341,市川聖,38.0,1.0
342,Hi－CUBE JUNCTION,38.0,0.0
343,The next! Liddell 1974,38.0,1.0
344,sprawl,38.0,1.0
345,沖に娘あり,38.0,1.0
346,toddle,38.0,1.0
347,ヒグチアイ,38.0,1.0
348,RECO.,38.0,0.0
349,DICE,38.0,0.0
350,トッチャンボウヤ,38.0,1.0
351,poro,38.0,0.0
352,現代アシンメトリー,38.0,1.0
353,ポニーテールスクライム,38.0,1.0
354,QOOLAND,38.0,1.0
355,セプテンバーミー,38.0,1.0
356,Out of Noir,38.0,0.0
357,FALSETTOS,38.0,1.0
358,カナイユウキ,38.0,0.0
359,The Rouges,38.0,1.0
360,テコの原理,38.0,1.0
361,ATATA,38.0,1.0
362,SAWA,38.0,1.0
363,TIME FREEZE,38.0,0.0
364,アーバンダンス,38.0,1.0
365,高高,38.0,0.0
366,Mr.M,37.0,1.0
367,HIGH BONE MUSCLE,37.0,1.0
368,GUEST DJ,37.0,-1.0
369,postcard of japan,37.0,1.0
370,カイモクジショウ,37.0,1.0
371,UREINOMISORA,37.0,1.0
372,恋する円盤,37.0,1.0
373,ゲンドウミサイル,37.0,1.0
374,甲殻類,37.0,-1.0
375,INKYMAP,37.0,1.0
376,底なしのバケツのようにざらざら,37.0,1.0
377,マリベル・スミス,37.0,1.0
378,オルタードシステム,37.0,1.0
379,クリトリック・リス,37.0,1.0
380,PENs+,37.0,1.0
381,ビオトープ,37.0,0.0
382,キングサーモン,37.0,0.0
383,アザラシ,36.0,0.0
384,KOZUMI,36.0,1.0
385,かみぬまゆうたろう,36.0,1.0
386,loach,36.0,1.0
387,icelandblue,36.0,1.0
388,或るミイ,36.0,1.0
389,Flying Izna Drop,36.0,1.0
390,alcana,36.0,1.0
391,ー・ー・ー・ー・ー,36.0,-1.0
392,MOROHA,36.0,1.0
393,たなかけん,36.0,1.0
394,アパッチカウボウイ,36.0,1.0
395,mock heroic,36.0,1.0
396,ハルカカナタ,36.0,0.0
397,スランキーサイド,36.0,1.0
398,littleneem,36.0,1.0
399,adv.\1200,36.0,-1.0
400,KEYTALK,36.0,1.0
401,沢田ナオヤ,36.0,1.0
402,COUNTRY YARD,36.0,1.0
403,93°,36.0,0.0
404,te_ri,36.0,1.0
405,The Doggy Paddle,36.0,1.0
406,かいやすとも,36.0,1.0
407,宮林愛美,36.0,1.0
408,太陽民芸,36.0,1.0
409,ドミコ,36.0,1.0
410,COMIC POOL,36.0,1.0
411,片平実,36.0,1.0
412,夜の夢,36.0,0.0
413,thatta,36.0,1.0
414,6年3組,36.0,0.0
415,コトリトワタシ,36.0,1.0
416,BOY FROM HELL,36.0,1.0
417,ワタナベシュウヘイ,36.0,1.0
418,unknown pleasures,36.0,1.0
419,原田卓馬,36.0,1.0
420,フジロッ久,36.0,1.0
421,REIYA,36.0,1.0
422,go!go!vanillas,35.0,1.0
423,not simple wonders,35.0,0.0
424,Zews,35.0,0.0
425,見田村千晴,35.0,1.0
426,数馬,35.0,0.0
427,BLIND CODE,35.0,1.0
428,パンとサーカス,35.0,0.0
429,GO FROM TOKYO,35.0,0.0
430,TADZIO,35.0,1.0
431,The Fess,35.0,1.0
432,ザ・チョコレイツ,35.0,1.0
433,神啓文,35.0,0.0
434,真黒毛ぼっくす,35.0,1.0
435,URiTA,35.0,1.0
436,STUD,35.0,0.0
437,赤尾充弥,35.0,1.0
438,水上カルビ,35.0,1.0
439,歌うアホウドリ,35.0,1.0
440,MCビル風,35.0,1.0
441,ampcharwar,35.0,1.0
442,KONCOS,35.0,1.0
443,UPANSAD,35.0,1.0
444,MAGUMI AND THE BREATHLESS,35.0,1.0
445,インプキンヘッド,35.0,0.0
446,クウネル・ダ・サイクル,35.0,1.0
447,お名前の後にご希望の通し券を表記してください。,35.0,-1.0
448,THE FUNKY SPRING HAIR,35.0,0.0
449,amali,35.0,1.0
450,艶街,35.0,1.0
451,Briar,35.0,0.0
452,necozeneco,35.0,1.0
453,スケキヨ,35.0,0.0
454,KUNI,35.0,1.0
455,O’tiempoman,35.0,0.0
456,OLEDICKFOGGY,35.0,1.0
457,7eo,34.0,1.0
458,LET'S ROCK,34.0,0.0
459,しなまゆ,34.0,1.0
460,koma,34.0,0.0
461,指先ノハク,34.0,1.0
462,unsnuff,34.0,1.0
463,niente.,34.0,1.0
464,ダイゴマン温泉,34.0,1.0
465,bananafish,34.0,1.0
466,i-diot,34.0,1.0
467,ライムベリー,34.0,1.0
468,BOYS END SWING GIRL,34.0,1.0
469,Outside dandy,34.0,1.0
470,NEKOZE,34.0,0.0
471,GOLIATH,34.0,0.0
472,gloptin,34.0,1.0
473,日本マドンナ,34.0,1.0
474,水曜日のカンパネラ,34.0,1.0
475,Live,34.0,-1.0
476,キッチン小判鮫,34.0,-1.0
477,COATREAL,34.0,1.0
478,楽団 象のダンス,34.0,1.0
479,アサミサエ,34.0,1.0
480,はいからさん,33.0,0.0
481,TRINICITY,33.0,1.0
482,END&ODDS;,33.0,0.0
483,THE ロカ,33.0,0.0
484,モハメド,33.0,0.0
485,イギリス人,33.0,0.0
486,ゆうせいから,33.0,1.0
487,表記がない場合,33.0,-1.0
488,NECRONOMIDOL,33.0,1.0
489,YOUCHIMACKY,33.0,1.0
490,ウソツキ,33.0,1.0
491,CHARTREUSE,33.0,1.0
492,榎本くるみ,33.0,1.0
493,the tenderness,33.0,0.0
494,流血ブリザード,33.0,1.0
495,ARCHAIC RAG STORE,33.0,1.0
496,神田多恵子,33.0,1.0
497,死ね死ね団,33.0,1.0
498,森翼,33.0,1.0
499,とけた電球,33.0,1.0
500,よしむらひらく,33.0,1.0
501,Stella☆Beats,33.0,0.0
502,ACT,33.0,-1.0
503,和紗,33.0,1.0
504,かわばたりお,33.0,-1.0
505,the peggies,33.0,1.0
506,テグー,33.0,0.0
507,STOROBOY,33.0,1.0
508,ありったけの世界,33.0,1.0
509,empty page,33.0,-1.0
510,00〜販売致します。,33.0,-1.0
511,狂気,33.0,0.0
512,Rigby,33.0,0.0
513,松崎ナオ,33.0,1.0
514,泰山に遊ぶ,33.0,1.0
515,GORO GOLO,32.0,1.0
516,ぞえあ,32.0,1.0
517,ANDA,32.0,0.0
518,Lukewarm,32.0,0.0
519,the quiet room,32.0,1.0
520,THE FUZZ ACT,32.0,1.0
521,Cuckoo,32.0,0.0
522,ALSET HOUND,32.0,1.0
523,Brutal Peter Gun,32.0,0.0
524,ヨソハヨソ,32.0,1.0
525,canaria,32.0,0.0
526,modi,32.0,0.0
527,THE PRISONER,32.0,1.0
528,REONALDO,32.0,1.0
529,FUZZYS,32.0,1.0
530,BARBARS,32.0,1.0
531,Negicco,32.0,1.0
532,385,32.0,1.0
533,hotspring,32.0,1.0
534,food,32.0,-1.0
535,ブルボンズ,32.0,1.0
536,田中雅紀,32.0,1.0
537,佐々木駿,32.0,0.0
538,Manhole New World,32.0,1.0
539,tegakiLIFE,32.0,0.0
540,FINLANDS,32.0,1.0
541,VATO,32.0,0.0
542,「ricca」,32.0,1.0
543,The Genetts,32.0,0.0
544,microcosm,32.0,1.0
545,キノコホテル,32.0,1.0
546,司会,32.0,-1.0
547,じゅじゅ,32.0,1.0
548,arrival art,32.0,1.0
549,DAVA,32.0,0.0
550,快速東京,32.0,1.0
551,功,32.0,-1.0
552,flight egg,32.0,1.0
553,スナカワタカヒロ,32.0,1.0
554,月夜のドラッグ,32.0,1.0
555,六弦詩人義家,32.0,1.0
556,THE DEAD PAN SPEAKERS,32.0,1.0
557,Starting Point Recurrence,31.0,1.0
558,MV,31.0,-1.0
559,Atelier Love NEET,31.0,1.0
560,NACANO,31.0,1.0
561,優しくして♪,31.0,-1.0
562,Flap,31.0,0.0
563,THE HOUSE,31.0,0.0
564,けだま,31.0,1.0
565,ちくわテイスティング協会,31.0,1.0
566,KOENJI HIGHでは,31.0,-1.0
567,More Than Love,31.0,0.0
568,Goodbye holiday,31.0,1.0
569,リハーサル,31.0,-1.0
570,Dots Dash,31.0,1.0
571,THIS IS PANIC,31.0,1.0
572,詳細はお電話でお問い合わせください。,31.0,-1.0
573,asari,31.0,1.0
574,I Think Otherwise,31.0,1.0
575,Guest,31.0,-1.0
576,弦先誠人,31.0,0.0
577,みょん,31.0,-1.0
578,映画,31.0,-1.0
579,The Cheserasera,31.0,1.0
580,イケダツカサ,31.0,1.0
581,ドラマ等の撮影,31.0,-1.0
582,Erase The Period,31.0,1.0
583,イロムク,31.0,1.0
584,16,31.0,-1.0
585,uguis,31.0,1.0
586,KETTLES,31.0,1.0
587,index,31.0,-1.0
588,音速ライン,31.0,1.0
589,hanot,31.0,1.0
590,PV,31.0,-1.0
591,quit it,31.0,-1.0
592,LioneL,31.0,1.0
593,The Most&Co;,31.0,-1.0
594,ユタ州,31.0,1.0
595,THE NOVEMBERS,31.0,1.0
596,2&,31.0,-1.0
597,ヤーチャイカ,31.0,1.0
598,オープニングアクト,31.0,-1.0
599,030382,31.0,-1.0
600,Hauptharmonie,31.0,1.0
601,giovanna,30.0,1.0
602,天王洲アイル,30.0,-1.0
603,The Midnight Guarantees,30.0,1.0
604,tesoro,30.0,0.0
605,アンテナ,30.0,0.0
606,それでも世界が続くなら,30.0,1.0
607,RICHARDSON ZILLIS,30.0,1.0
608,踏み絵サンダルス,30.0,1.0
609,カイザーストロングバーツ,30.0,1.0
610,狩野七夏,30.0,1.0
611,オワリカラ,30.0,1.0
612,lang,30.0,-1.0
613,驢馬,30.0,1.0
614,THEロカ,30.0,1.0
615,偶想Drop,30.0,1.0
616,ユメイハダカ,30.0,1.0
617,SuiseiNoboAz,30.0,1.0
618,臼井嗣人,30.0,1.0
619,日本泥棒,30.0,1.0
620,DJs,30.0,-1.0
621,チーナ,30.0,1.0
622,泉本麻美子,30.0,1.0
623,yEAN,30.0,1.0
624,初音,30.0,-1.0
625,CICADA,30.0,1.0
626,RAT,30.0,-1.0
627,Perfect At Last,30.0,0.0
628,ゲストバンド,30.0,-1.0
629,とりちん,30.0,1.0
630,カケラバンク,30.0,1.0
631,Glarm to Phalta,30.0,1.0
632,QLTONE,30.0,1.0
633,THE RAILROAD STEEL,30.0,1.0
634,突然少年,30.0,1.0
635,きのこ帝国,30.0,1.0
636,room free fall,30.0,1.0
637,BLANK DISK BOOTLEG,30.0,1.0
638,ナツノムジナ,30.0,1.0
639,MEANING,30.0,1.0
